,FullAddress,long,lat
93,Holsteiner Ufer 012 10557 Berlin,13.3433745,52.5218907
94,Paulstr. 020D 10557 Berlin,13.355143,52.5198173
95,Bandelstr. 041 10559 Berlin,13.349909,52.52710070000001
96,Kluckstr. 029 10785 Berlin,13.3615841,52.5026757
97,Alt-Moabit 117 10559 Berlin,13.3544726,52.5236099
98,Lützowstr. 083- 85 (Zugang Pohlstraße 62) 10785 Berlin,13.3630541,52.5035803
99,Turmstr. 071 10551 Berlin,13.3323106,52.526985
100,Elberfelder Str. 018 10555 Berlin,13.3359124,52.521727
101,Otto-von-Bismarck-Allee 002 10557 Berlin,13.3749711,52.520917
102,Quitzowstr. 136 10559 Berlin,13.3515586,52.5351429
103,Lehrter Str. 040 10557 Berlin,13.358405,52.53485629999999
104,Stephanstr. 017 10559 Berlin,13.3497904,52.5341958
105,Wilsnacker Str. 014 10559 Berlin,13.351494,52.52768520000001
106,Rostocker Str. 026 10553 Berlin,13.3266288,52.5319273
107,Bochumer Str. 011 10555 Berlin,13.3384158,52.5218674
108,Stromstr. 058 10551 Berlin,13.3432081,52.5275334
109,Flemingstr. 011 10557 Berlin,13.3568458,52.5208881
110,Waldstr. 015 10551 Berlin,13.3316108,52.5299619
111,Calvinstr. 013 10557 Berlin,13.3515126,52.5217466
112,Wilsnacker Str. 062 10559 Berlin,13.3515659,52.5273174
113,Lübecker Str. 013 10559 Berlin,13.34537,52.52847089999999
114,Quitzowstr. 125 10559 Berlin,13.3487119,52.5348161
115,Emdener Str. 028 10551 Berlin,13.3346009,52.5323436
116,Huttenstr. 022A 10553 Berlin,13.3186791,52.5287222
117,Lützowstr. 061 10785 Berlin,13.3551106,52.505067
118,Lüneburger Str. 014 10557 Berlin,13.3575515,52.5201652
119,Huttenstr. 031 10553 Berlin,13.3154421,52.5293463
120,Lübecker Str. 032 10559 Berlin,13.3446751,52.5301847
121,Katharina-Heinroth-Ufer 001 10787 Berlin,13.3436603,52.5082961
122,Bissingzeile 01519 10785 Berlin,13.404954,52.52000659999999
123,Emdener Str. 047 10551 Berlin,13.3340339,52.5300126
124,Alt-Moabit 133B 10557 Berlin,13.3606,52.522385
125,Waldstr. 042 10551 Berlin,13.3312096,52.5305006
126,Birkenstr. 033 10551 Berlin,13.3408875,52.5324271
127,Bochumer Str. 002 10555 Berlin,13.3378764,52.5246472
128,Hansa-Ufer 003A 10555 Berlin,13.3366988,52.5191637
129,Lützowplatz 001 10785 Berlin,13.3540215,52.5052173
130,Siemensstr. 010 10551 Berlin,13.3322433,52.53279569999999
131,Waldstr. 023 10551 Berlin,13.3317405,52.5324263
132,Siegmunds Hof 017a 10555 Berlin,13.3355855,52.51553310000001
133,Klopstockstr. 001 10557 Berlin,13.337669,52.51523719999999
134,Lützowstr. 106 10785 Berlin,13.3692078,52.5016251
135,Wilsnacker Str. 040 10559 Berlin,13.3495417,52.53169270000001
136,Elberfelder Str. 019 10555 Berlin,13.3358892,52.5215117
137,Jagowstr. 028 10555 Berlin,13.3340336,52.5233775
138,Emdener Str. 056 10551 Berlin,13.3335217,52.5278605
139,Alt-Moabit 035 10555 Berlin,13.3347613,52.5247086
